Project,tool,file_old,line_old,file_new,line_new,threshhold,version_altered,date_altered,day,type,subtype,type,subtype
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Base/FileInfo.cpp,184, src/Base/FileInfo.cpp,182   -   ,0.653846154, 3c88edd00704e1440fb005a9799f428d76adbbdc,1472907088,1617,  Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Gui/Selection.cpp,464, src/Gui/Selection.cpp,492   -   496   -   ,0.759259259, cc89deccbfe2f6eb18b53648b68ec03693a3c618 b5519922d8479da3c3205b212a972cce50ffc749,1436468612,1196,  Code Quality, Inconsistent Implementations, Code Quality, Inconsistent Implementations
FreeCAD/FreeCAD_sf_master, cppcheck, src/3rdParty/salomesmesh/src/SMESH/SMESH_MeshEditor.cpp,6433, src/3rdParty/salomesmesh/src/SMESH/SMESH_MeshEditor.cpp,11478   -   ,0.728813559, 666a3e5a6850264da5048b0a257a1bc591ce5780,1463213156,1505,  Code Quality, Uninitialized Variable,,
GollyGang/ready, RATS, Ready/src/readybase/OpenCL_MixIn.cpp,168, src/readybase/OpenCL_MixIn.cpp,178   -   ,0.565217391, 8a8cf1bdfe71b37acb599834ad793381afac655d,1409691504,797,  Input Validation and Representation, Buffer Overflow,,
GollyGang/ready, RATS, Ready/src/readybase/OpenCLImageRD.cpp,64, src/readybase/OpenCLImageRD.cpp,68   -   ,0.565217391, 8a8cf1bdfe71b37acb599834ad793381afac655d,1409691504,797,  Input Validation and Representation, Buffer Overflow,,
GollyGang/ready, RATS, Ready/src/readybase/OpenCLMeshRD.cpp,155, src/readybase/OpenCLMeshRD.cpp,169   -   ,0.565217391, 8a8cf1bdfe71b37acb599834ad793381afac655d,1409691504,797,  Input Validation and Representation, Buffer Overflow,,
GollyGang/ready, Flawfinder, Ready/src/readybase/OpenCLImageRD.cpp,64, src/readybase/OpenCLImageRD.cpp,68   -   ,0.565217391, 8a8cf1bdfe71b37acb599834ad793381afac655d,1409691504,797,  Input Validation and Representation, Buffer Overflow,,
GollyGang/ready, Flawfinder, Ready/src/readybase/OpenCLMeshRD.cpp,155, src/readybase/OpenCLMeshRD.cpp,169   -   ,0.565217391, 8a8cf1bdfe71b37acb599834ad793381afac655d,1409691504,797,  Input Validation and Representation, Buffer Overflow,,
GollyGang/ready, Flawfinder, Ready/src/readybase/OpenCL_MixIn.cpp,168, src/readybase/OpenCL_MixIn.cpp,178   -   ,0.565217391, 8a8cf1bdfe71b37acb599834ad793381afac655d,1409691504,797,  Input Validation and Representation, Buffer Overflow,,
H-uru/Plasma, RATS, Sources/Plasma/Apps/plClient/winmain.cpp,967, Sources/Plasma/Apps/plClient/winmain.cpp,587   -   ,0.508474576, befa224e65a46f4d347cb7ef94ee79eec9e30ada,1460338657,1420,  Input Validation and Representation, Buffer Overflow,,
H-uru/Plasma, RATS, Sources/Plasma/Apps/plPageInfo/plPageInfo.cpp,251, Sources/Plasma/Apps/plPageInfo/plPageInfo.cpp,242   -   ,0.745454545, 6e564476b77b14d743c63d941c99ae988a892ccc,1358718434,244,  Input Validation and Representation, Buffer Overflow,,
H-uru/Plasma, RATS, Sources/Plasma/CoreLib/hsStream.cpp,146, Sources/Plasma/CoreLib/hsStream.cpp,118   -   ,0.575, b219c3c3cc7f33cb9c5e33de33469647ad58a1dc,1352797343,175,  Input Validation and Representation, Buffer Overflow,,
H-uru/Plasma, RATS, Sources/Plasma/CoreLib/hsStream.cpp,184, Sources/Plasma/CoreLib/hsStream.cpp,153   -   ,0.642857143, 4513e3726a54fa0ef85cbe46d267e026765b2882,1460263289,1419,  Input Validation and Representation, Buffer Overflow,,
H-uru/Plasma, RATS, Sources/Plasma/CoreLib/hsStream.cpp,232, Sources/Plasma/CoreLib/hsStream.cpp,200   -   ,0.575, b219c3c3cc7f33cb9c5e33de33469647ad58a1dc,1352797343,175,  Input Validation and Representation, Buffer Overflow,,
H-uru/Plasma, RATS, Sources/Plasma/CoreLib/hsStream.cpp,283, Sources/Plasma/CoreLib/hsStream.cpp,247   -   ,0.642857143, 4513e3726a54fa0ef85cbe46d267e026765b2882,1460263289,1419,  Input Validation and Representation, Buffer Overflow,,
H-uru/Plasma, RATS, Sources/Plasma/FeatureLib/pfConsole/pfConsole.cpp,290, Sources/Plasma/FeatureLib/pfConsole/pfConsole.cpp,316   -   ,0.788732394, 4513e3726a54fa0ef85cbe46d267e026765b2882,1460263289,1419,  Input Validation and Representation, Buffer Overflow,,
