Project, commit1, commit2, RATS_Runtime_1, RATS_Runtime_2, Flawfinder_Runtime_1, Flawfinder_Runtime_2, Cppcheck_Runtime_1, Cppcheck_Runtime_2, Clang_Runtime_1, Clang_Runtime_2, PVS_studio_Runtime_1, PVS_studio_Runtime_2,  Parasoft_run_time1, Parasoft_run_time2
edubart/otclient, 8c731ac016d95407eed6c2767945a97fbdd4fa83 , c01b32b03255989497ca5331de898804e6a39a1b ,1705,1043,2574,1950,19333,8117,35825,26662,568048,368200,99436,58433
elemental/Elemental, 351bc9460dcc58be62e9b42902e49640a97c0b0e , f96177ebcc0ad2a6598579df0d9fcae1babe26f5 ,2896,1248,7458,3346,67274,3774,267436,156498,2458798,43644,4158177,362691
esa/pagmo, 60d8566e2e771975fc84712fb46866007f9b3400 , ea8777a49c9e8e6bff2e7ae9b7a45d419f223490 ,2362,1519,5429,4026,128976,65425,46419,41449,1218706,691246,266556,564787
facebook/mysql-5.6, 037c4910b360633160d97cc002c60576dea85393 , 45f59a05cc6bcf72aa9322f5802cee6a6f98c211 ,65095,58658,100469,86848,24717849,14006969,631114,734820,255876,951832,164115,2515690
freundlich/fcppt, 652b63c63e241376f535a470874adbcbd4e7f623 , 6b8d0816c20b28ef52a568f6fb1f4f9f5e5078e2 ,3135,1782,4642,3148,2604,1513,58815,94263,4165295,464931,3400784,431534
freundlich/mizuiro, e1a77ff94cf11f5d2515424a923886cb62cb02dc , 4f5fe1d02598404283d3783333cddda87dc7418e ,1029,508,1916,1069,848,396,37060,28432,47617,68145,173299,61603
gnuradio/gnuradio, ac5109d25a9d94386429dd9e806268d29c8e2aac , fd52df0f706195d937e287189024f8aa6fbeaf60 ,8283,8118,11601,9015,35156,16038,43158,230306,1772662,1783863,40497,161197
hluk/CopyQ, 652ea527c37902566da9bcb152af3d1753426d4e , 313d9245bb907d61b8e1b8530246d9033302e97b ,3138,1746,4298,2063,12209,3231,85614,40273,279888,40301,774069,103442
hpcc-systems/HPCC-Platform, f2e903ffa48a4468f3718d516e240bd288719708 , a2eb7f9cb93700e77e38cbd31ed47af187229b5b ,66668,68150,110765,104145,68150,6569436,98121,67720,2326453,998754,183350,151557
imageworks/OpenColorIO, 6b744f2b4543d16f77b3fe19ae05b67c56a13673 , b7d58e7fbd0dea7924c6c73ab4fec8739b7ef63d ,1215,1198,2003,1988,15514,13599,35514,29264,188582,158092,694163,668815
jbeder/yaml-cpp, 0fdb1b910c1a31db80b7521446166d06cad10813 , c335c8dd753c2b5f456a42e6dc33da16b7203713 ,863,215,3157,796,64549,3659,36486,30561,179820,56964,283277,152204
juj/MathGeoLib, 07680b7cfcca72c3f852dd248eb26e4ca3e26530 , 662276c250314488cb2e76dbb65c32c6ed1684c3 ,888,396,2092,1067,381690,8885,28529,27173,39165,25134,127815,53822
koreader/crengine, d0854294e0a9259d9c160b5fe9c91a123a63528b , 82509784f8e1fdbf9998f2806ace69babff9e15c ,0,10396,14666,11701,2276218,1597044,33983,33498,66358,59754,282265,189196
lalinsky/chromaprint, 22daf0e01ce46145d916112094997c3003c298c8 , 33307a55f21f3bebbcb901ae525d4f383b0a0181 ,1035,348,928,796,4121,1973,43749,30319,26335,36893,92912,90612
ledger/ledger, bc8136fa6fbb74febee99735c8bd603b1f12ddef , 63a14fd5e0aeb64a0508ddac71803acc926425c5 ,1147,2101,1623,1599,363457,440863,68585,47868,0,0,1126026,197422
libpinyin/libpinyin, 2919d7d4b9facf175d4da33418dfbb9945f4bb15 , 230ee9362a2908e982ff7ff1766d070249cac5ca ,5169,1367,2303,2247,7642,2417,60442,58622,31224,4961947,52247,62809
libspatialindex/libspatialindex, 4768bf3e9ce5ab80c639a6017f5c1e9d093ea515 , 9a39ed4c01ce4f5f54e236d716f467a22aca6968 ,2679,903,3394,2030,23863,3907,43444,34939,63275,51970,290170,231170
lightspark/lightspark, 308241eb55c5379765033e60f28dfdd956c7abcd , 18956fb0c94992f98f707af12b4b107ed4631d25 ,3214,1199,4497,2636,97437,31057,28577,28104,694740,278202,1344713,201487
lotem/librime, 7f41f6527ffedcfccc16f7e4b93a3048f33cf19e , bb1f48a36a835bd31dd7cb64c4faf738c80cc75d ,3681,336,9188,1055,125320,988,36315,34198,429158,234272,770840,87135
