project,from, to,age,number_of_commits,number_of_releases, new_version,new_number_of_source_files,new_number_of_header_files,new_loc,old_version,old_number_of_source_files,old_number_of_header_files,old_loc
 RainerKuemmerle/g2o, 12-Jan-2012, 11-Jun-2017,65,846,2, deafc01ee8315b9405351fb145238c5d62f82dc7,230,273,76538, 8dec86fc74050a2d77c3fad0a010aa5c3a6a1010,170,208,52791
 Reactive-Extensions/RxCpp, 5-Nov-2012, 25-Feb-2017,52,870,5, c808bb5b4536e35f25611db3c38fd9cda4a62c36,191,219,89912, 0b3e8b7b47a11d03cf66ce8de57bf1da9108ce3b,149,200,74050
 ReadyTalk/avian, 21-May-2007, 1-Mar-2017,119,4762,19, dee99d6dd60b743a870d1a2c58183649c8a6449c,88,91,85816, 4bacddb20ab0ecd099e3c2f3e010a69f978a9aff,88,91,84634
 Ryochan7/antimicro, 30-Dec-2012, 29-Jan-2017,49,1570,47, 81693777b4a51136fce097ea259a95466315c71f,118,119,62681, 198f8896e987cd6f6b7fa08c1f3803eebff2037e,99,99,46959
 SOCI/soci, 26-Oct-2004, 2-Mar-2017,150,2207,17, e719c44bb89949d3c179a6390de57ccd9046878b,111,72,53613, 1e4b3654814edec463c2a71f3d7ae009320749a7,112,66,48076
 STEllAR-GROUP/hpx, 24-Mar-2008, 18-Mar-2017,109,19037,29, 694ae57b429fcfe67fc04059b2504398e0457a73,979,1293,422061, 3a14ec85644e3798eeb3dfe11be1ddcdda45d407,472,700,201176
 SafirSDK/safir_sdk_core, 30-Mar-2009, 21-Jun-2017,100,5385,76, 88c98c69f4fd4727e96e2610acb9b057683ee67a,409,529,201959, 8a789efdc8ffb97fa7a79ed286027a34d4039e63,378,423,166731
 SimTk/openmm, 15-Apr-2008, 28-Jun-2017,112,5664,17, feb79f770145bb12c99bbe058e29d077a381465d,554,457,310494, c77af6e9bc8e1419f3bba7bd9ef4b213a1d22d44,462,392,241296
 Slicer/SlicerExecutionModel, 28-Mar-2010, 15-Jun-2017,87,277,0, 1d3e9a226bd594f23733993c16c337ba60077bc5,9,40,16629, b6125d3f5f29f7395fee060a0a0bb04409818ad4,9,37,16716
 SupSuper/OpenXcom, 25-Jan-2010, 15-Mar-2017,86,7672,7, bcb0a0cd60f83576484977824c6522f4e3e8e86b,313,329,171655, 3d8a9b0ed655347f2e239f1773d8fcd6a62dddf5,210,219,76485
 SuperTux/supertux, 9-Apr-2003, 8-Aug-2016,162,8882,29, 0fb271c8711c141eb5b30314668c90d7d75fb7f1,747,734,334330, 3918a884872e4e92805cf1476bd59db5ebf41431,679,686,325973
 SuperTuxTeam/supertux, 9-Apr-2003, 8-Aug-2016,162,8882,29, 0fb271c8711c141eb5b30314668c90d7d75fb7f1,747,734,334330, 3918a884872e4e92805cf1476bd59db5ebf41431,679,686,325973
 TUM-I5/ASAGI, 3-Jan-2012, 11-Apr-2017,64,364,6, f633f96931ae00805f599078d5a1a6a830881554,81,286,37569, a0cd4e117c2b95035644cf6a3365d0cdfef5f784,76,239,26179
 TigerVNC/tigervnc, 20-Mar-2008, 17-Mar-2017,109,3826,25, 53f520567202928f908b5f94f6d143e7067a8bdd,3,234,60766, 0878eca6aa47106a24fee53ab3791c677fdfefbe,6,468,195114
 Vatsinator/Vatsinator, 5-Apr-2012, 30-Jul-2014,28,1444,3, f80c21059afb89e8baec154283d3e8f12c62db30,99,160,39407, b1b13d5f5738ae6876e571ad3d4c24d844c8af7b,60,64,13148
 VcDevel/Vc, 2-Apr-2009, 8-Jun-2017,99,6150,28, 9e6ec672ba8d9c085213291d95be009ed5838493,60,156,55238, 298f0440ab61c10b92ccfad709d15017ebd51066,27,77,21325
