Project, commit1, commit2, RATS_Runtime_1, RATS_Runtime_2, Flawfinder_Runtime_1, Flawfinder_Runtime_2, Cppcheck_Runtime_1, Cppcheck_Runtime_2, Clang_Runtime_1, Clang_Runtime_2, PVS_studio_Runtime_1, PVS_studio_Runtime_2,  Parasoft_run_time1, Parasoft_run_time2
deskvox/deskvox, 96e52235b5397d800f15971594327bdd3d7eacc0 , 9dc865c914b037299da11901c5a793cb6ff824d7 ,953,709,2832,1802,1785407,182225,56191,41920,211690,94617,48692,42091
dorkster/flare-engine-next, def388a7eecbfb2ac750e6b20507d5272d723dfc , 5c74d8c8a954c2ea367c69a8efc8a60ce69ec892 ,646,221,2337,783,24250,6836,32037,31466,142277,60956,286571,125194
dune-project/dune-common, 45c3f0ac13fd5db5ece0b6bec9e50d7407d0d660 , 1dceeb491a6ea08d191da279441e4da2a41db55b ,358,435,870,893,3147,2097,160609,205076,131230,133757,108945,108552
edubart/otclient, 8c731ac016d95407eed6c2767945a97fbdd4fa83 , c01b32b03255989497ca5331de898804e6a39a1b ,1705,1043,2574,1950,19333,8117,35825,26662,568048,368200,99436,58433
elemental/Elemental, 351bc9460dcc58be62e9b42902e49640a97c0b0e , f96177ebcc0ad2a6598579df0d9fcae1babe26f5 ,2896,1248,7458,3346,67274,3774,267436,156498,2458798,43644,4158177,362691
esa/pagmo, 60d8566e2e771975fc84712fb46866007f9b3400 , ea8777a49c9e8e6bff2e7ae9b7a45d419f223490 ,2362,1519,5429,4026,128976,65425,46419,41449,1218706,691246,266556,564787
etano/simpimc, 943fb6e3ec399b1f7b9ea075a447806f4522a6fd , e5d32c6fbf52c18c3992ffff1409dfd132ad5eec ,246,248,714,774,3054,42017,25453,24158,8138,46700,34051,43292
eteran/edb-debugger, c656659b881cf8693b3584b923a128dc3597b8fa , 76fe545b9390d41d2f5365cf785fcd455a67b5a5 ,752,713,2238,2023,7888,7944,33790,32645,307268,299637,1073489,1039486
euroelessar/jreen, c04c229d2ead96db1af31e55c81d6ab00fb65a7b , 9cb0ae2f89024ec6261090da02a3f23ca4b392d3 ,1499,1305,2237,2359,39811,40684,27709,27566,183386,108527,426527,178486
freeorion/freeorion, 611758cf90e990070cafe728c61b689d399dd5f7 , d6a00202da402c425dfeb64854288543ab820dfc ,5223,3864,11889,5713,1126329,2584664,37365,32654,2276775,23083,4597212,209872
freundlich/fcppt, 652b63c63e241376f535a470874adbcbd4e7f623 , 6b8d0816c20b28ef52a568f6fb1f4f9f5e5078e2 ,3135,1782,4642,3148,2604,1513,58815,94263,4165295,464931,3400784,431534
freundlich/mizuiro, e1a77ff94cf11f5d2515424a923886cb62cb02dc , 4f5fe1d02598404283d3783333cddda87dc7418e ,1029,508,1916,1069,848,396,37060,28432,47617,68145,173299,61603
gemrb/gemrb, 90cda6b99ac13abe63e3929245b8f034eddeb9b3 , a186784bde3c0507abd9752f59f4e6f92d57bf4d ,8106,8859,7381,7432,103196,76950,121630,116053,229800,203780,598215,391069
gflags/gflags, 4a694e87361d08eff5c4c9e9f551b1a0d41f7c40 , f7e89ba9ea82ed2a79413b7c323bca79ac26c747 ,608,360,859,691,2837,2795,43169,50835,14035,12173,56284,48231
gnuradio/gnuradio, ac5109d25a9d94386429dd9e806268d29c8e2aac , fd52df0f706195d937e287189024f8aa6fbeaf60 ,8283,8118,11601,9015,35156,16038,43158,230306,1772662,1783863,40497,161197
google/glog, da816ea70645e463aa04f9564544939fa327d5a7 , 95cde7af2f115daa2881b329864c6d2e276671f5 ,712,660,2336,2410,2749,2646,145203,139429,0,0,106413,111626
highfidelity/hifi, e1a0984fed4be37a8582972587222a38ecebc7f7 , ad0b2f024b0c4c8c38236d8888e7cd585e995d83 ,12695,5363,18608,5701,167091,36809,96047,33357,3859259,76501,1951550,110619
hluk/CopyQ, 652ea527c37902566da9bcb152af3d1753426d4e , 313d9245bb907d61b8e1b8530246d9033302e97b ,3138,1746,4298,2063,12209,3231,85614,40273,279888,40301,774069,103442
imageworks/OpenColorIO, 6b744f2b4543d16f77b3fe19ae05b67c56a13673 , b7d58e7fbd0dea7924c6c73ab4fec8739b7ef63d ,1215,1198,2003,1988,15514,13599,35514,29264,188582,158092,694163,668815
jbeder/yaml-cpp, 0fdb1b910c1a31db80b7521446166d06cad10813 , c335c8dd753c2b5f456a42e6dc33da16b7203713 ,863,215,3157,796,64549,3659,36486,30561,179820,56964,283277,152204
jktjkt/trojita, 58690b61d1ee66b49b4be2b9c6b1460fc8278fa7 , 964169993489856c7342a05369456fe9ede5478c ,1161,1209,2950,2681,20757,23362,41974,32642,425729,279812,1992385,1179776
juj/MathGeoLib, 07680b7cfcca72c3f852dd248eb26e4ca3e26530 , 662276c250314488cb2e76dbb65c32c6ed1684c3 ,888,396,2092,1067,381690,8885,28529,27173,39165,25134,127815,53822
koreader/crengine, d0854294e0a9259d9c160b5fe9c91a123a63528b , 82509784f8e1fdbf9998f2806ace69babff9e15c ,0,10396,14666,11701,2276218,1597044,33983,33498,66358,59754,282265,189196
lalinsky/chromaprint, 22daf0e01ce46145d916112094997c3003c298c8 , 33307a55f21f3bebbcb901ae525d4f383b0a0181 ,1035,348,928,796,4121,1973,43749,30319,26335,36893,92912,90612
lballabio/QuantLib, e65dd7b6cbd54bc64f909259ab3311a8a5d006d6 , 606024a75b34e9f8c45de395653717136468f4bd ,12370,5979,20377,19834,77323,65290,50131,49502,3270638,0,8674982,10610039
ledger/ledger, bc8136fa6fbb74febee99735c8bd603b1f12ddef , 63a14fd5e0aeb64a0508ddac71803acc926425c5 ,1147,2101,1623,1599,363457,440863,68585,47868,0,0,1126026,197422
leethomason/tinyxml2, 395ea09f83cfa34d848cea25b8a64d7ae3858ada , c510a8c76ed48177e08471403f92d78056a3af21 ,147,127,817,466,3451,1858,26667,25953,7263,7434,42888,42523
lemire/FastPFor, bae51c0f8f7c50c179e10a84d0a3e137bbc062d7 , bf307bdfca05bca3fe02eaab00cbf734aafa3c2e ,180,901,1683,1310,11973,103930,35972,26270,52670,41871,138076,91030
libpinyin/libpinyin, 2919d7d4b9facf175d4da33418dfbb9945f4bb15 , 230ee9362a2908e982ff7ff1766d070249cac5ca ,5169,1367,2303,2247,7642,2417,60442,58622,31224,4961947,52247,62809
libspatialindex/libspatialindex, 4768bf3e9ce5ab80c639a6017f5c1e9d093ea515 , 9a39ed4c01ce4f5f54e236d716f467a22aca6968 ,2679,903,3394,2030,23863,3907,43444,34939,63275,51970,290170,231170
lightspark/lightspark, 308241eb55c5379765033e60f28dfdd956c7abcd , 18956fb0c94992f98f707af12b4b107ed4631d25 ,3214,1199,4497,2636,97437,31057,28577,28104,694740,278202,1344713,201487
litehtml/litehtml, d7cc6abfe1141770718404aaf9b17db80ed3f196 , 13cf9e27bd0a08ab67eb969c7ddf8ed92aa07db8 ,847,655,1739,1852,41569,37002,25585,25552,645168,649837,182358,130825
loot/loot, f1e4c4fe6a54688d6e83fb5043324bff8f9af4d0 , 030e828e251d61ecfdac41db102673471859a290 ,345,161,720,466,399,2549,35677,26509,42894,7519,1200357,396210
lotem/librime, 7f41f6527ffedcfccc16f7e4b93a3048f33cf19e , bb1f48a36a835bd31dd7cb64c4faf738c80cc75d ,3681,336,9188,1055,125320,988,36315,34198,429158,234272,770840,87135
lxde/pcmanfm-qt, 1d38bbd24b4b51f52bbf8a7f1e9237f0ccd37766 , 62990ca3954c0ab70d44d4381830b1d2d961c393 ,416,463,457,580,1114,199,41231,32134,46309,11088,190471,46123
marek629/SIR, 49668de22b1954a3f97283f0068736fe8c483eee , 1d0333cc691c7b30020e64e4775811541edafb8c ,800,665,1729,1224,3181,2788,26181,31105,198259,67679,118932,168539
martinrunge/muroa, d3a9d5078fac3f8baa48cd899ce7810c5cc0e4a3 , 3fdb0f8529e8e34df6778782c36e2a87d54bcf94 ,5265,2368,4313,3201,13524,8664,44363,43728,403078,392445,97151,72240
