project,v1,v2,tool,old_file,old_line,old_description,new_file,new_line,new_description,status,file_name_changed,still_bug,same_description,false_positive
Git,1.5.6,2.13.2,clang,utf8.c,290,Logic error Dereference of null pointer,utf8.c,286,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,grep.c,461,Logic error Dereference of null pointer,grep.c,1589,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,diff-lib.c,221,Logic error Dereference of null pointer,diff-lib.c,273,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,xdiff-interface.c,225,Logic error Dereference of null pointer,xdiff-interface.c,267,Logic error Dereference of null pointer,moved,0,1,1,TFP
Git,1.5.6,2.13.2,clang,fast-import.c,1831,Logic error Dereference of null pointer,fast-import.c,2166,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-reset.c,197,Logic error Dereference of null pointer,builtin-reset.c,298,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,http-walker.c,888,Logic error Dereference of null pointer,http-walker.c,569,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-pack-objects.c,956,Logic error Dereference of null pointer,builtin/pack-objects.c,1298,Logic error Dereference of null pointer,moved,1,1,1,TFP
Git,1.5.6,2.13.2,clang,builtin-reset.c,208,Logic error Dereference of null pointer,builtin-reset.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,server-info.c,193,Logic error Dereference of null pointer,server-info.c,228,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,strbuf.c,51,Logic error Dereference of null pointer,strbuf.c,55,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,unpack-trees.c,401,Logic error Dereference of null pointer,unpack-trees.c,1342,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,grep.c,73,Logic error Dereference of null pointer,grep.c,530,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,remote.c,95,Logic error Dereference of null pointer,remote.c,108,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,sha1_name.c,648,Memory Error Double free,sha1_name.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,sha1_name.c,665,Memory Error Double free,sha1_name.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,xdiff-interface.c,195,Logic error Result of operation is garbage or undefined,xdiff-interface.c,240,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-reset.c,208,Logic error Unix API,builtin-reset.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-reset.c,197,Logic error Unix API,builtin-reset.c,298,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-mv.c,213,Memory Error Use-after-free,builtin/mv.c,NA,NA,deleted,1,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,diffcore-break.c,284,Memory Error Use-after-free,diffcore-break.c,294,Memory Error Use-after-free,moved,0,1,1,TFP
Git,1.5.6,2.13.2,clang,builtin-mv.c,224,Memory Error Use-after-free,builtin/mv.c,272,NA,changed,1,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-mv.c,224,Memory Error Use-after-free,builtin/mv.c,272,NA,changed,1,0,NA,FFP2
